rubro,provincia,value,datetime
Manufacturas de origen agropecuario,La Rioja,97.131,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Salta,92.186,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Santiago del Estero,0.941,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Tucumán,192.887,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Mendoza,604.815,1/1/2006 0:00:00
Manufacturas de origen agropecuario,San Juan,133.177,1/1/2006 0:00:00
Manufacturas de origen agropecuario,San Luis,164.521,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Chaco,52.654,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Corrientes,33.885,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Formosa,8.646,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Misiones,215.82,1/1/2006 0:00:00
Manufacturas de origen industrial,Buenos Aires,9368.77,1/1/2006 0:00:00
Manufacturas de origen industrial,Capital Federal,222.024,1/1/2006 0:00:00
Manufacturas de origen industrial,Córdoba,1113.489,1/1/2006 0:00:00
Manufacturas de origen industrial,Entre Ríos,81.263,1/1/2006 0:00:00
Manufacturas de origen industrial,La Pampa,12.229,1/1/2006 0:00:00
Manufacturas de origen industrial,Santa Fe,1096.611,1/1/2006 0:00:00
Manufacturas de origen industrial,Chubut,414.855,1/1/2006 0:00:00
Manufacturas de origen industrial,Neuquén,10.837,1/1/2006 0:00:00
Manufacturas de origen industrial,Río Negro,38.014,1/1/2006 0:00:00
Manufacturas de origen industrial,Santa Cruz,168.532,1/1/2006 0:00:00
Manufacturas de origen industrial,Tierra del Fuego,55.16,1/1/2006 0:00:00
Manufacturas de origen industrial,Catamarca,79.783,1/1/2006 0:00:00
Manufacturas de origen industrial,Jujuy,47.592,1/1/2006 0:00:00
Manufacturas de origen industrial,La Rioja,63.245,1/1/2006 0:00:00
Manufacturas de origen industrial,Salta,77.602,1/1/2006 0:00:00
Manufacturas de origen industrial,Santiago del Estero,19.831,1/1/2006 0:00:00
Manufacturas de origen industrial,Tucumán,235.643,1/1/2006 0:00:00
Manufacturas de origen industrial,Mendoza,138.1,1/1/2006 0:00:00
Manufacturas de origen industrial,San Juan,441.679,1/1/2006 0:00:00
Manufacturas de origen industrial,San Luis,254.431,1/1/2006 0:00:00
Manufacturas de origen industrial,Chaco,7.701,1/1/2006 0:00:00
Manufacturas de origen industrial,Corrientes,7.534,1/1/2006 0:00:00
Manufacturas de origen industrial,Formosa,2.638,1/1/2006 0:00:00
Manufacturas de origen industrial,Misiones,131.962,1/1/2006 0:00:00
Combustibles y energía,Buenos Aires,2853.973,1/1/2006 0:00:00
Combustibles y energía,Capital Federal,0,1/1/2006 0:00:00
Combustibles y energía,Córdoba,1.121,1/1/2006 0:00:00
Combustibles y energía,Entre Ríos,0,1/1/2006 0:00:00
Combustibles y energía,La Pampa,22.377,1/1/2006 0:00:00
Combustibles y energía,Santa Fe,269.918,1/1/2006 0:00:00
Combustibles y energía,Chubut,1203.069,1/1/2006 0:00:00
Combustibles y energía,Neuquén,824.317,1/1/2006 0:00:00
Combustibles y energía,Río Negro,77.45,1/1/2006 0:00:00
Combustibles y energía,Santa Cruz,555.473,1/1/2006 0:00:00
Combustibles y energía,Tierra del Fuego,345.046,1/1/2006 0:00:00
Combustibles y energía,Catamarca,0,1/1/2006 0:00:00
Combustibles y energía,Jujuy,0,1/1/2006 0:00:00
Combustibles y energía,La Rioja,0,1/1/2006 0:00:00
Combustibles y energía,Salta,441.433,1/1/2006 0:00:00
Combustibles y energía,Santiago del Estero,0,1/1/2006 0:00:00
Combustibles y energía,Tucumán,3.657,1/1/2006 0:00:00
Combustibles y energía,Mendoza,247.136,1/1/2006 0:00:00
Combustibles y energía,San Juan,1.36,1/1/2006 0:00:00
Combustibles y energía,San Luis,0,1/1/2006 0:00:00
Combustibles y energía,Chaco,0,1/1/2006 0:00:00
Combustibles y energía,Corrientes,2.507,1/1/2006 0:00:00
Combustibles y energía,Formosa,21.895,1/1/2006 0:00:00
Combustibles y energía,Misiones,0,1/1/2006 0:00:00
Productos primarios,Buenos Aires,3163.333,1/1/2007 0:00:00
Productos primarios,Capital Federal,0,1/1/2007 0:00:00
Productos primarios,Córdoba,2400.682,1/1/2007 0:00:00
Productos primarios,Entre Ríos,773.408,1/1/2007 0:00:00
Productos primarios,La Pampa,183.252,1/1/2007 0:00:00
Productos primarios,Santa Fe,1461.099,1/1/2007 0:00:00
Productos primarios,Chubut,287.78,1/1/2007 0:00:00
Productos primarios,Neuquén,53.425,1/1/2007 0:00:00
Productos primarios,Río Negro,325.6,1/1/2007 0:00:00
Productos primarios,Santa Cruz,256.393,1/1/2007 0:00:00
Productos primarios,Tierra del Fuego,42.881,1/1/2007 0:00:00
Productos primarios,Catamarca,1507.935,1/1/2007 0:00:00
Productos primarios,Jujuy,163.02,1/1/2007 0:00:00
Productos primarios,La Rioja,1.489,1/1/2007 0:00:00
Productos primarios,Salta,415.544,1/1/2007 0:00:00
Productos primarios,Santiago del Estero,246.526,1/1/2007 0:00:00
Productos primarios,Tucumán,317.293,1/1/2007 0:00:00
Productos primarios,Mendoza,235.403,1/1/2007 0:00:00
Productos primarios,San Juan,100.757,1/1/2007 0:00:00
Productos primarios,San Luis,35.222,1/1/2007 0:00:00
Productos primarios,Chaco,220.229,1/1/2007 0:00:00
Productos primarios,Corrientes,89.661,1/1/2007 0:00:00
Productos primarios,Formosa,9.072,1/1/2007 0:00:00
Productos primarios,Misiones,73.063,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Buenos Aires,4053.556,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Capital Federal,144.816,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Córdoba,2902.029,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Entre Ríos,332.498,1/1/2007 0:00:00
Manufacturas de origen agropecuario,La Pampa,24.613,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Santa Fe,9144.249,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Chubut,219.734,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Neuquén,38.588,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Río Negro,78.513,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Santa Cruz,50.758,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Tierra del Fuego,42.22,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Catamarca,26.568,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Jujuy,49.372,1/1/2007 0:00:00
